NAME,TEAM,POS,GP,PASS_YDS,PASS_TDS,INT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FPTSPG,TOTFPTS
Hunter Renfrow,LV,WR,13,0,0,0,0,0,49,605,4,10.3,133.5
James Washington,PIT,WR,15,0,0,0,0,0,44,735,3,8.9,133.5
Anthony Miller,CHI,WR,16,0,0,0,-1,0,52,656,2,8,127.5
T.Y. Hilton,IND,WR,10,0,0,0,0,0,45,501,5,12.5,125.1
Mohamed Sanu,NE,WR,15,0,0,0,11,0,59,520,2,8.3,124.1
Alshon Jeffery,PHI,WR,10,0,0,0,2,1,43,490,4,12.2,122.2
Kenny Stills,HOU,WR,13,0,0,0,0,0,40,561,4,9.2,120.1
Brandin Cooks,LAR,WR,14,0,0,0,52,0,42,583,2,8.4,117.5
Corey Davis,TEN,WR,15,0,0,0,0,0,43,601,2,7.7,115.1
Adam Thielen,MIN,WR,10,0,0,0,6,1,30,418,6,11.4,114.4
Mecole Hardman Jr.,KC,WR,16,0,0,0,17,0,26,538,6,7.1,113.5
JuJu Smith-Schuster,PIT,WR,12,0,0,0,0,0,42,552,3,9.4,113.2
Steven Sims,WAS,WR,16,0,0,0,85,1,34,310,4,6.5,103.5
Allen Lazard,GB,WR,12,0,0,0,21,0,35,477,3,8.6,102.8
Auden Tate,CIN,WR,12,0,0,0,0,0,40,575,1,8.5,101.5
Demarcus Robinson,KC,WR,16,0,0,0,0,0,32,449,4,6.3,100.9
Phillip Dorsett,NE,WR,14,0,0,0,21,0,29,397,5,7.2,100.8
Russell Gage,ATL,WR,16,0,0,0,12,0,49,446,1,6.2,98.8
Kendrick Bourne,SF,WR,16,0,0,0,0,0,30,358,5,6.1,97.8
Alex Erickson,CIN,WR,16,26,0,0,33,0,43,529,0,6,96.2
Willie Snead IV,BAL,WR,16,0,0,0,2,0,31,339,5,5.9,95.1
John Ross,CIN,WR,8,0,0,0,4,0,28,506,3,11.9,95
Nelson Agholor,PHI,WR,11,0,0,0,7,0,39,363,3,8.5,94
Preston Williams,MIA,WR,8,0,0,0,0,0,32,428,3,11.3,90.8
Taylor Gabriel,CHI,WR,9,0,0,0,20,0,29,353,4,10,90.3
Albert Wilson,MIA,WR,13,20,0,0,45,0,43,351,1,6.9,89.4
Adam Humphries,TEN,WR,12,0,0,0,1,0,37,374,2,7.2,86.5
Ted Ginn Jr.,NO,WR,16,0,0,0,18,0,30,421,2,5.4,85.9
Demaryius Thomas,NYJ,WR,11,0,0,0,0,0,36,433,1,7.8,85.3
Marquez Valdes-Scantling,GB,WR,16,0,0,0,9,0,26,452,2,5.3,84.1
Allen Hurns,MIA,WR,14,0,0,0,0,0,32,416,2,6,83.6
Tajae Sharpe,TEN,WR,15,0,0,0,0,0,25,329,4,5.5,81.9
Bisi Johnson,MIN,WR,16,0,0,0,6,0,31,294,3,4.9,79
Keelan Cole Sr.,JAX,WR,16,0,0,0,6,0,24,361,3,4.9,78.7
Geronimo Allison,GB,WR,16,0,0,0,7,0,34,287,2,4.7,75.4
Josh Gordon,SEA,WR,11,0,0,1,1,0,27,426,1,6.7,73.7
Damiere Byrd,ARI,WR,11,0,0,0,0,0,32,359,1,6.5,71.9
Tre'Quan Smith,NO,WR,11,0,0,0,0,0,18,234,5,6.5,71.4
Kelvin Harmon,WAS,WR,16,11,0,0,0,0,30,365,0,4.2,66.9
Cody Latimer,NYG,WR,15,0,0,0,0,0,24,300,2,4.4,66
Paul Richardson,WAS,WR,10,0,0,0,0,0,28,245,2,6.5,64.5
DaeSean Hamilton,DEN,WR,16,0,0,0,0,0,28,297,1,4,63.7
Isaiah McKenzie,BUF,WR,14,0,0,0,49,0,27,254,1,4.5,63.3
Josh Reynolds,LAR,WR,16,0,0,0,23,0,21,326,1,3.9,61.9
Jakobi Meyers,NE,WR,15,0,0,0,0,0,26,359,0,4.1,61.9
Seth Roberts,BAL,WR,16,0,0,0,0,0,21,271,2,3.8,60.1
Greg Ward,PHI,WR,6,0,0,0,5,0,28,254,1,10,59.9
Travis Kelce,KC,TE,16,0,0,0,4,1,97,1229,5,15.9,254.3
George Kittle,SF,TE,14,0,0,0,22,0,85,1053,5,15.9,222.5
Darren Waller,LV,TE,16,0,0,0,5,0,90,1145,3,13.8,221
Zach Ertz,PHI,TE,15,0,0,0,0,0,88,916,6,14.4,215.6
Mark Andrews,BAL,TE,15,0,0,0,0,0,64,852,10,13.8,207.2
Austin Hooper,ATL,TE,13,0,0,0,0,0,75,787,6,14.7,191.7
Jared Cook,NO,TE,14,0,0,0,0,0,43,705,9,12,167.5
Tyler Higbee,LAR,TE,15,0,0,0,0,0,69,734,3,10.7,160.4
Hunter Henry,LAC,TE,12,0,0,0,0,0,55,652,5,12.5,150.2
Dallas Goedert,PHI,TE,15,0,0,0,0,0,58,607,5,9.6,144.7
Jason Witten,DAL,TE,16,0,0,0,0,0,63,529,4,8.7,139.9
Mike Gesicki,MIA,TE,16,0,0,0,0,0,51,570,5,8.5,136
Greg Olsen,CAR,TE,14,0,0,0,0,0,52,597,2,8.8,123.7
Kyle Rudolph,MIN,TE,16,0,0,0,0,0,39,367,6,7.1,113.7
Jack Doyle,IND,TE,16,0,0,0,0,0,43,448,4,7,111.8
Noah Fant,DEN,TE,16,0,0,0,-12,0,40,562,3,6.9,111
Darren Fells,HOU,TE,16,0,0,0,0,0,34,341,7,6.9,110.1
Evan Engram,NYG,TE,8,0,0,0,7,0,44,467,3,13.7,109.4
Tyler Eifert,CIN,TE,16,0,0,0,0,0,43,436,3,6.7,106.6
Jonnu Smith,TEN,TE,16,0,0,0,78,0,35,439,3,6.5,104.7
Jimmy Graham,GB,TE,16,0,0,0,0,0,38,447,3,6.3,100.7
Ryan Griffin,NYJ,TE,13,0,0,0,0,0,34,320,5,7.5,98
Jacob Hollister,SEA,TE,11,0,0,0,0,0,41,349,3,8.5,93.9
Cameron Brate,TB,TE,16,0,0,0,0,0,36,311,4,5.7,91.1
Gerald Everett,LAR,TE,13,0,0,0,0,0,37,408,2,6.9,89.8
Jordan Akins,HOU,TE,16,0,0,0,0,0,36,418,2,5.6,89.8
Eric Ebron,IND,TE,11,0,0,0,0,0,31,375,3,7.9,86.5
Blake Jarwin,DAL,TE,16,0,0,0,0,0,31,365,3,5.3,85.5
O.J. Howard,TB,TE,14,0,0,0,0,0,34,459,1,6,83.9
Vance McDonald,PIT,TE,14,0,0,0,2,0,38,273,3,6,83.5
T.J. Hockenson,DET,TE,12,0,0,0,0,0,32,367,2,6.7,80.7
Dawson Knox,BUF,TE,15,0,0,0,9,0,28,388,2,5.3,79.7
Irv Smith,MIN,TE,16,0,0,0,0,0,36,311,2,4.9,79.1
Hayden Hurst,BAL,TE,16,0,0,0,0,0,30,349,2,4.8,76.9
Kaden Smith,NYG,TE,9,0,0,0,0,0,31,268,3,8.4,75.8
Nick Boyle,BAL,TE,16,0,0,0,0,0,31,321,2,4.7,75.1
Will Dissly,SEA,TE,6,0,0,0,7,0,23,262,4,12.3,73.9
Foster Moreau,LV,TE,13,0,0,0,0,0,21,174,5,5.3,68.4
Josh Hill,NO,TE,16,0,0,0,0,0,25,226,3,4.1,65.6
C.J. Uzomah,CIN,TE,16,0,0,0,0,0,27,242,2,4,63.2
Ricky Seals-Jones,CLE,TE,14,0,0,0,0,0,14,229,4,4.2,58.9
Jeremy Sprinkle,WAS,TE,16,0,0,0,0,0,26,241,1,3.5,56.1
Delanie Walker,TEN,TE,7,0,0,0,0,0,21,215,2,7.8,54.5
Demetrius Harris,CLE,TE,15,0,0,0,0,0,15,149,3,3.3,49.9
Charles Clay,ARI,TE,15,0,0,0,0,0,18,237,1,3.2,47.7
James O'Shaughnessy,JAX,TE,5,0,0,0,0,0,14,153,2,8.3,41.3
Maxx Williams,ARI,TE,16,0,0,0,0,0,15,202,1,2.6,41.2
Rhett Ellison,NYG,TE,10,0,0,0,0,0,18,167,1,4.1,40.7
Anthony Firkser,TEN,TE,15,0,0,0,0,0,14,204,1,2.7,40.4
Logan Thomas,DET,TE,16,0,0,0,0,0,16,173,1,2.5,39.3
